Request ID,Market,Product,Market Rank,Product Rank
49005,China,1,1,1
30679,China,1,2,2
45665,Singapore,1,2,3
49871,US,1,3,4
34614,Europe,1,3,5
36999,China,1,3,6
45334,Japan,1,3,7
24540,US,1,5,8
31341,Japan,1,5,9
30574,Japan,1,6,10
23954,Japan,1,8,11
32896,US,1,11,12
24198,US,1,12,13
24171,Singapore,1,12,14
26975,Europe,1,14,15
30628,China,1,15,16
48676,US,1,16,17
40920,China,1,16,18
48699,US,1,19,19
40523,Singapore,1,19,20
27669,Europe,1,21,21
37343,China,1,25,22
30245,Japan,1,25,23
30829,Europe,1,33,24
26571,US,1,35,25
20608,China,1,35,26
49392,China,1,36,27
47716,Europe,1,37,28
33386,China,1,37,29
44175,Europe,1,39,30
41358,Japan,1,40,31
39648,Japan,1,47,32
24867,Europe,1,50,33
33264,Japan,1,52,34
47553,Japan,1,53,35
30636,Europe,1,55,36
30770,Europe,1,56,37
26213,Europe,1,57,38
49325,Europe,1,60,39
40976,Japan,1,63,40
34049,Europe,1,64,41
38884,Japan,1,70,42
36840,Europe,1,72,43
24093,Europe,2,1,1
30180,US,2,4,2
34626,China,2,5,3
27256,Singapore,2,5,4
25690,US,2,6,5
40155,Japan,2,7,6
28386,China,2,8,7
25492,Europe,2,9,8
42910,China,2,9,9
49880,Japan,2,11,10
34184,Europe,2,12,11
34385,China,2,12,12
39931,Japan,2,14,13
48457,Japan,2,15,14
35799,US,2,17,15
34533,Europe,2,17,16
38609,China,2,17,17
46117,Japan,2,17,18
49608,Singapore,2,17,19
36668,Singapore,2,18,20
39359,Europe,2,20,21
37817,China,2,21,22
47192,Singapore,2,22,23
48759,Europe,2,23,24
41663,China,2,23,25
48188,Singapore,2,24,26
47887,Singapore,2,26,27
47247,US,2,27,28
28910,China,2,27,29
48316,Japan,2,27,30
43710,US,2,28,31
26653,Europe,2,28,32
37290,US,2,29,33
47622,Japan,2,29,34
41213,Singapore,2,29,35
48100,China,2,31,36
36739,US,2,32,37
21516,Japan,2,32,38
38867,Japan,2,35,39
37246,US,2,38,40
46286,China,2,39,41
23643,China,2,40,42
37957,Europe,2,48,43
36215,Europe,2,51,44
20507,Europe,2,54,45
27984,Japan,2,54,46
28326,Japan,2,60,47
25162,Japan,2,64,48
49664,Japan,2,65,49
36650,Europe,2,66,50
23012,Japan,2,67,51
47620,Europe,2,68,52
36873,US,3,1,1
31979,China,3,6,2
37639,US,3,7,3
37859,China,3,7,4
44283,US,3,8,5
26770,Singapore,3,8,6
